UTC_Time,Account,Operation,Coin,Change,Remark
2021-07-01 00:38:57,Spot,POS savings interest,ADA,0.01803621,""
2021-07-01 14:30:57,Spot,Buy,BUSD,-219.86800000,""
2021-07-01 14:30:57,Spot,Buy,ETH,0.10520000,""
2021-07-02 00:37:27,Spot,POS savings interest,ADA,0.01803621,""
2021-07-02 22:58:02,Spot,Sell,ETH,-0.10495000,""
2021-07-02 22:58:02,Spot,Sell,BUSD,225.64250000,""
2021-07-03 00:44:55,Spot,POS savings redemption,ADA,84.51040763,""
2021-07-06 05:00:10,Spot,Sell,BUSD,190.86400000,""
2021-07-06 05:00:10,Spot,Sell,BNB,-0.60400000,""
2021-07-08 07:32:44,Spot,Buy,BUSD,-225.63200000,""
2021-07-08 07:32:44,Spot,Buy,ETH,0.10256000,""
2021-07-09 16:24:11,Spot,Buy,BNB,0.60780000,""
2021-07-09 16:24:11,Spot,Buy,BUSD,-190.84920000,""
2021-07-12 00:26:41,Spot,Withdraw,ADA,-51.00000000,Withdraw fee is included
2021-07-12 00:34:41,Spot,Withdraw,ADA,-297.73113500,Withdraw fee is included
2021-07-19 16:51:44,Spot,Large OTC trading,BUSD,-44.49250000,""
2021-07-19 16:51:44,Spot,Large OTC trading,BTC,0.00144613,""
2021-07-20 19:11:55,Spot,transfer_in,BUSD,381.67938931,""
2021-07-20 19:12:26,Spot,Buy,BUSD,-21.30922684,""
2021-07-20 19:12:26,Spot,Buy,BUSD,-360.34294133,""
2021-07-20 19:12:26,Spot,Fee,BNB,-0.00100927,""
2021-07-20 19:12:26,Spot,Buy,BTC,0.00071600,""
2021-07-20 19:12:26,Spot,Buy,BTC,0.01210700,""
2021-07-20 19:12:26,Spot,Fee,BNB,-0.00006000,""
2021-07-31 18:50:24,Spot,transfer_in,USDT,363.39000000,""
2021-08-01 02:34:51,Spot,Buy,USDT,-363.38681250,""
2021-08-01 02:34:51,Spot,Fee,BNB,-0.00080277,""
2021-08-01 02:34:51,Spot,Buy,ETH,0.14125000,""
2021-08-03 02:26:29,Spot,Sell,BTC,-0.02190000,""
2021-08-03 02:26:29,Spot,Sell,BUSD,854.11949100,""
2021-08-03 02:30:10,Spot,Small assets exchange BNB,USDT,-0.00318750,""
2021-08-03 02:30:10,Spot,Small assets exchange BNB,BNB,0.00000952,""
2021-08-04 02:52:25,Spot,POS savings purchase,BNB,-0.80737754,""
2021-08-05 06:45:04,Spot,Buy,BUSD,-854.13419600,""
2021-08-05 06:45:04,Spot,Buy,BTC,0.02190200,""
2021-08-06 01:04:57,Spot,POS savings interest,BNB,0.00027827,""
2021-08-07 01:05:05,Spot,POS savings interest,BNB,0.00027827,""
2021-08-07 09:06:00,Spot,Sell,BUSD,523.11000000,""
2021-08-07 09:06:00,Spot,Sell,ETH,-0.17437000,""
2021-08-08 00:57:24,Spot,POS savings interest,BNB,0.00027827,""
2021-08-09 00:58:15,Spot,POS savings interest,BNB,0.00027827,""
2021-08-09 04:34:07,Spot,Buy,ETH,0.00417000,""
2021-08-09 04:34:07,Spot,Buy,BUSD,-473.72453000,""
2021-08-09 04:34:07,Spot,Buy,BUSD,-12.32022330,""
2021-08-09 04:34:07,Spot,Fee,ETH,-0.00001227,""
2021-08-09 04:34:07,Spot,Fee,BNB,-0.00104284,""
2021-08-09 04:34:07,Spot,Buy,BUSD,-36.25269660,""
2021-08-09 04:34:07,Spot,Buy,ETH,0.16034000,""
2021-08-09 04:34:07,Spot,Buy,ETH,0.01227000,""
2021-08-09 04:34:07,Spot,Fee,BNB,-0.00002712,""
2021-08-10 01:01:07,Spot,POS savings interest,BNB,0.00027827,""
2021-08-11 01:02:16,Spot,POS savings interest,BNB,0.00027827,""
2021-08-12 01:11:35,Spot,POS savings interest,BNB,0.00022407,""
2021-08-13 01:07:05,Spot,POS savings interest,BNB,0.00022407,""
2021-08-14 00:55:54,Spot,POS savings interest,BNB,0.00022407,""
2021-08-15 00:54:39,Spot,POS savings interest,BNB,0.00022407,""
2021-08-15 17:38:24,Spot,transfer_in,BUSD,781.25000000,""
2021-08-15 18:30:33,Spot,Buy,BTC,0.00086500,""
2021-08-15 18:30:33,Spot,Buy,BUSD,-39.77270000,""
2021-08-15 18:30:34,Spot,Buy,BTC,0.00480400,""
2021-08-15 18:30:34,Spot,Buy,BUSD,-220.88792000,""
2021-08-15 22:24:14,Spot,Buy,BUSD,-261.42464000,""
2021-08-15 22:24:14,Spot,Buy,ADA,120.14000000,""
2021-08-15 23:38:53,Spot,Buy,ETH,0.07878000,""
2021-08-15 23:38:53,Spot,Buy,BUSD,-259.97400000,""
2021-08-16 00:56:01,Spot,POS savings interest,BNB,0.00022407,""
2021-08-17 00:57:09,Spot,POS savings interest,BNB,0.00022407,""
2021-08-18 00:42:41,Spot,Withdraw,ADA,-120.14000000,Withdraw fee is included
2021-08-18 00:57:48,Spot,POS savings interest,BNB,0.00022407,""
2021-08-19 00:56:59,Spot,POS savings interest,BNB,0.00022407,""
2021-08-19 02:29:26,Spot,Sell,BUSD,323.74373240,""
2021-08-19 02:29:26,Spot,Fee,BNB,-0.00060919,""
2021-08-19 02:29:26,Spot,Sell,ETH,-0.10748000,""
2021-08-19 16:52:05,Spot,Buy,BUSD,-30.56560000,""
2021-08-19 16:52:05,Spot,Buy,ETH,0.01000000,""
2021-08-19 16:52:05,Spot,Fee,BNB,-0.00003105,""
2021-08-19 16:52:05,Spot,Buy,BUSD,-45.84840000,""
2021-08-19 16:52:05,Spot,Buy,BUSD,-205.95101280,""
2021-08-19 16:52:05,Spot,Buy,ETH,0.01500000,""
2021-08-19 16:52:05,Spot,Buy,ETH,0.06738000,""
2021-08-19 16:52:05,Spot,Buy,ETH,0.00569000,""
2021-08-19 16:52:05,Spot,Fee,BNB,-0.00005459,""
2021-08-19 16:52:05,Spot,Fee,BNB,-0.00036785,""
2021-08-19 16:52:05,Spot,Buy,BUSD,-17.39159880,""
