UTC_Time,Operation,Coin,Change,Investment
2021-06-10 00:53:10,POS savings interest,ADA,0.01803621,
2021-06-11 00:52:19,POS savings interest,ADA,0.01803621,
2021-06-12 00:50:48,POS savings interest,ADA,0.01803621,
2021-06-13 00:49:35,POS savings interest,ADA,0.01803621,
2021-06-14 00:49:12,POS savings interest,ADA,0.01803621,
2021-06-14 22:41:05,Deposit,BTC,0.01131335,560.00
2021-06-15 00:01:37,transfer_out,BTC,-0.00727449,
2021-06-15 00:15:51,Large OTC trading,BTC,-0.00334000,
2021-06-15 00:15:51,Large OTC trading,XMR,0.48785333,
2021-06-15 00:47:59,POS savings interest,ADA,0.01803621,
2021-06-16 00:47:43,POS savings interest,ADA,0.01803621,
2021-06-17 00:46:36,POS savings interest,ADA,0.01803621,
2021-06-18 00:46:54,POS savings interest,ADA,0.01803621,
2021-06-18 12:25:12,Small assets exchange BNB,BUSD,-0.00204040,
2021-06-18 12:25:12,Small assets exchange BNB,BNB,0.00000571,
2021-06-19 00:45:28,POS savings interest,ADA,0.01803621,
2021-06-20 00:46:13,POS savings interest,ADA,0.01803621,
2021-06-21 00:39:11,POS savings interest,ADA,0.01803621,
2021-06-22 00:46:05,POS savings interest,ADA,0.01803621,
2021-06-22 15:12:50,transfer_in,BUSD,310.07751937,400.00
2021-06-22 15:13:51,Large OTC trading,BUSD,-310.07751937,
2021-06-22 15:13:51,Large OTC trading,BTC,0.01002822,
2021-06-23 00:44:14,POS savings interest,ADA,0.01803621,
2021-06-24 00:43:37,POS savings interest,ADA,0.01803621,
2021-06-24 17:07:34,Sell,BUSD,545.86000000,
2021-06-24 17:07:34,Sell,BTC,-0.01559600,
2021-06-25 00:42:45,POS savings interest,ADA,0.01803621,
2021-06-25 16:28:07,Buy,BTC,0.01705800,
2021-06-25 16:28:07,Buy,BUSD,-545.85600000,
2021-06-26 00:43:34,POS savings interest,ADA,0.01803621,
2021-06-27 00:42:16,POS savings interest,ADA,0.01803621,
2021-06-28 00:41:14,POS savings interest,ADA,0.01803621,
2021-06-28 15:39:43,Sell,ETH,-0.10470000,
2021-06-28 15:39:43,Sell,BUSD,219.87000000,
2021-06-29 00:41:02,POS savings interest,ADA,0.01803621,
2021-06-29 23:29:11,transfer_in,BTC,0.00727449,
2021-06-30 00:41:25,POS savings interest,ADA,0.01803621,
2021-07-01 00:38:57,POS savings interest,ADA,0.01803621,
2021-07-01 14:30:57,Buy,ETH,0.10520000,
2021-07-01 14:30:57,Buy,BUSD,-219.86800000,
2021-07-02 00:37:27,POS savings interest,ADA,0.01803621,
2021-07-02 22:58:02,Sell,BUSD,225.64250000,
2021-07-02 22:58:02,Sell,ETH,-0.10495000,
2021-07-03 00:44:55,POS savings redemption,ADA,84.51040763,
2021-07-06 05:00:10,Sell,BNB,-0.60400000,
2021-07-06 05:00:10,Sell,BUSD,190.86400000,
2021-07-08 07:32:44,Buy,BUSD,-225.63200000,
2021-07-08 07:32:44,Buy,ETH,0.10256000,
2021-07-09 16:24:11,Buy,BUSD,-190.84920000,
2021-07-09 16:24:11,Buy,BNB,0.60780000,
2021-07-12 00:26:41,TRANSFER,ADA,-51.00000000,
2021-07-12 00:34:41,TRANSFER,ADA,-297.73113500,
2021-07-19 16:51:44,Large OTC trading,BUSD,-44.49250000,
2021-07-19 16:51:44,Large OTC trading,BTC,0.00144613,
2021-07-20 19:11:55,transfer_in,BUSD,381.67938931,500.00
2021-07-20 19:12:26,Buy,BUSD,-360.34294133,
2021-07-20 19:12:26,FEE,BNB,-0.00006000,
2021-07-20 19:12:26,Buy,BTC,0.00071600,
2021-07-20 19:12:26,FEE,BNB,-0.00100927,
2021-07-20 19:12:26,Buy,BTC,0.01210700,
2021-07-20 19:12:26,Buy,BUSD,-21.30922684,
2021-07-31 18:50:24,transfer_in,USDT,363.39000000,461.51
2021-08-01 02:34:51,Buy,USDT,-363.38681250,
2021-08-01 02:34:51,Buy,ETH,0.14125000,
2021-08-01 02:34:51,FEE,BNB,-0.00080277,
2021-08-03 02:26:29,Sell,BUSD,854.11949100,
2021-08-03 02:26:29,Sell,BTC,-0.02190000,
2021-08-03 02:30:10,Small assets exchange BNB,USDT,-0.00318750,
2021-08-03 02:30:10,Small assets exchange BNB,BNB,0.00000952,
2021-08-04 02:52:25,POS savings purchase,BNB,-0.80737754,
2021-08-05 06:45:04,Buy,BTC,0.02190200,
2021-08-05 06:45:04,Buy,BUSD,-854.13419600,
2021-08-06 01:04:57,POS savings interest,BNB,0.00027827,
2021-08-07 01:05:05,POS savings interest,BNB,0.00027827,
2021-08-07 09:06:00,Sell,BUSD,523.11000000,
2021-08-07 09:06:00,Sell,ETH,-0.17437000,
2021-08-08 00:57:24,POS savings interest,BNB,0.00027827,
2021-08-09 00:58:15,POS savings interest,BNB,0.00027827,
2021-08-09 04:34:07,Buy,BUSD,-36.25269660,
2021-08-09 04:34:07,Buy,ETH,0.16034000,
2021-08-09 04:34:07,FEE,ETH,-0.00001227,
2021-08-09 04:34:07,Buy,ETH,0.01227000,
2021-08-09 04:34:07,FEE,BNB,-0.00104284,
2021-08-09 04:34:07,FEE,BNB,-0.00002712,
2021-08-09 04:34:07,Buy,ETH,0.00417000,
2021-08-09 04:34:07,Buy,BUSD,-12.32022330,
2021-08-09 04:34:07,Buy,BUSD,-473.72453000,
2021-08-10 01:01:07,POS savings interest,BNB,0.00027827,
2021-08-11 01:02:16,POS savings interest,BNB,0.00027827,
2021-08-12 01:11:35,POS savings interest,BNB,0.00022407,
2021-08-13 01:07:05,POS savings interest,BNB,0.00022407,
2021-08-14 00:55:54,POS savings interest,BNB,0.00022407,
2021-08-15 00:54:39,POS savings interest,BNB,0.00022407,
2021-08-15 17:38:24,transfer_in,BUSD,781.25000000,1000.00
2021-08-15 18:30:33,Buy,BUSD,-39.77270000,
2021-08-15 18:30:33,Buy,BTC,0.00086500,
2021-08-15 18:30:34,Buy,BTC,0.00480400,
2021-08-15 18:30:34,Buy,BUSD,-220.88792000,
2021-08-15 22:24:14,Buy,ADA,120.14000000,
2021-08-15 22:24:14,Buy,BUSD,-261.42464000,
2021-08-15 23:38:53,Buy,ETH,0.07878000,
2021-08-15 23:38:53,Buy,BUSD,-259.97400000,
2021-08-16 00:56:01,POS savings interest,BNB,0.00022407,
2021-08-17 00:57:09,POS savings interest,BNB,0.00022407,
2021-08-18 00:42:41,TRANSFER,ADA,-120.14000000,
2021-08-18 00:57:48,POS savings interest,BNB,0.00022407,
2021-08-19 00:56:59,POS savings interest,BNB,0.00022407,
2021-08-19 02:29:26,Sell,ETH,-0.10748000,
2021-08-19 02:29:26,Sell,BUSD,323.74373240,
2021-08-19 02:29:26,FEE,BNB,-0.00060919,
2021-08-19 16:52:05,Buy,ETH,0.01000000,
2021-08-19 16:52:05,Buy,ETH,0.06738000,
2021-08-19 16:52:05,FEE,BNB,-0.00003105,
2021-08-19 16:52:05,Buy,ETH,0.00569000,
2021-08-19 16:52:05,Buy,BUSD,-205.95101280,
2021-08-19 16:52:05,Buy,ETH,0.01500000,
2021-08-19 16:52:05,Buy,BUSD,-30.56560000,
2021-08-19 16:52:05,Buy,BUSD,-17.39159880,
2021-08-19 16:52:05,Buy,BUSD,-45.84840000,
2021-08-19 16:52:05,FEE,BNB,-0.00036785,
2021-08-19 16:52:05,FEE,BNB,-0.00005459,
2021-08-19 16:52:05,FEE,BNB,-0.00008188,
2021-08-19 16:54:26,Buy,ADA,10.93000000,
2021-08-19 16:54:26,FEE,BNB,-0.00004269,
2021-08-19 16:54:26,Buy,BUSD,-23.82740000,
2021-08-20 00:58:49,POS savings interest,BNB,0.00022407,
2021-08-20 13:51:14,Large OTC trading,ADA,40.00000080,
2021-08-20 13:51:14,Large OTC trading,BTC,-0.00216200,
2021-08-20 14:34:42,TRANSFER,ADA,-50.93000100,
2021-08-21 00:58:34,POS savings interest,BNB,0.00022407,
2021-08-22 00:58:49,POS savings interest,BNB,0.00022407,
2021-08-22 19:20:09,Sell,BUSD,881.45820000,
2021-08-22 19:20:09,Sell,BUSD,159.55380000,
2021-08-22 19:20:09,Sell,BTC,-0.00223500,
2021-08-22 19:20:09,Sell,BTC,-0.01813700,
2021-08-22 19:20:09,Sell,BTC,-0.00328300,
2021-08-22 19:20:09,Sell,BUSD,108.62100000,
2021-08-22 21:59:15,Sell,XMR,-1.27170000,
